idx,domain,type,target_numcount,question,target_answer,r1_ox,r1_numcov_pct,r1_has_cite_marker,r1_has_support_word,r1_abstain,r1_answer_len,r1_answer_numcount,r2_ox,r2_numcov_pct,r2_has_cite_marker,r2_has_support_word,r2_abstain,r2_answer_len,r2_answer_numcount,r3_ox,r3_numcov_pct,r3_has_cite_marker,r3_has_support_word,r3_abstain,r3_answer_len,r3_answer_numcount,r4_ox,r4_numcov_pct,r4_has_cite_marker,r4_has_support_word,r4_abstain,r4_answer_len,r4_answer_numcount
0,finance,paragraph,2,火災保険の収益悪化に対し、損害保険各社はどのような収益改善策を講じているか、具体的な例を挙げて説明してください。さらに、これらの改善策がどのように保険引受利益に影響を与えたかについても教えてください。,火災保険の収益悪化には長期契約が赤字状態であることや自然災害増加に伴う再保険市場のハード化が影響しています。これを受けて、各保険会社では2021年5月の参考純率改定に基づいて商品改定を行いました。また、更なる保険料改定が必要だと共通認識され、独自の収益改善策を講じている会社もあります。例えば、一部の保険会社は再保険の利用を見直し、リスク管理の強化を図っています。他の会社では、新技術を導入して損害査定の効率化を図るなどしています。これらの取り組みは、結果として一部の保険会社では保険引受利益の改善に寄与していますが、未だに全体としては二極化が進んでいると考えられます。,O,100.0,0,1,0,1229,20,O,100.0,0,1,0,1278,9,O,100.0,0,0,0,1456,20,X,100.0,0,0,1,1051,11
1,finance,image,5,2017年度から2021年度までのどの年が最も自然災害の保険金支払額が高かったか？また、その理由についても説明しなさい。,"2017年度から2021年度まで最も保険金支払額が高かったのは2018年度で、10,678億円の被害が発生しました。その理由として、2018年度は台風21号が特に大きな影響を及ぼし、甚大な被害をもたらしたことが考えられます。",O,100.0,0,0,0,287,19,O,100.0,0,0,0,317,20,O,100.0,0,0,0,577,22,O,100.0,0,0,0,404,22
2,finance,image,5,主要生保のソルベンシー・マージン比率の推移を考慮すると、令和5年3月期の比率が令和3年3月期と比べてどのような変動を示しているか。,令和3年3月期のソルベンシー・マージン比率は1007.4でしたが、令和5年3月期には944.8に減少しています。三年間で総計62.6ポイントの減少が見られます。,X,40.0,0,0,1,98,4,O,100.0,0,0,0,151,10,X,40.0,0,0,1,193,5,O,80.0,0,0,0,118,10
3,finance,paragraph,0,生命保険協会や金融庁は保険代理店の業務品質評価運営に対してどのような具体的な取組みや対策を講じているのか、またその背景にはどのような課題や目的があるのか説明してください。,保険代理店管理態勢の高度化において、生命保険協会や金融庁は代理店の業務品質評価運営に力を入れています。金融庁は、生命保険協会の評価運営を踏まえ、各保険会社が代理店の業務品質を評価する状況を確認しています。更に、評価運営の更なる浸透を図るため、具体的な意見を発信し、生命保険会社や保険代理店が創意工夫を凝らした取組みを促進しています。これらの背景には、代理店が直接の顧客接点として重要な役割を担っていること、また顧客本位の業務運営を確実にするために、代理店の業務品質の向上が重要であるという課題があります。加えて、保険代理店がサイバーセキュリティ対策やコンティンジェンシープランの策定において遅れを取っており、更なる取り組みの進展が望まれる点も挙げられます。,O,,0,0,0,841,4,O,,0,0,0,884,4,O,,0,0,0,958,0,O,,0,0,0,418,3
4,finance,paragraph,4,外貨建保険の販売による苦情件数および苦情発生率の変動傾向について教えてください。また、外貨建保険の苦情の背景も合わせて示してください。,外貨建保険の販売に関する苦情件数と苦情発生率は、2012年から2015年にかけて増加傾向にありました。2016年以降は一旦減少しましたが、2022年度には再び増加の兆しが見られました。この変動には、外貨建保険の運用目標到達による解約が増加していることが影響しており、特に解約払戻金が想定した水準を下回るとの苦情が顕著に増加しています。このため、生命保険会社は受電体制の強化およびWeb手続きの充実などの取り組みを実施しているが、顧客本位の業務運営の更なる徹底が求められています。,O,100.0,0,0,0,1427,64,X,100.0,0,0,0,1199,49,X,100.0,0,0,0,739,44,O,100.0,0,0,0,730,41
5,finance,table,12,令和6年の景気動向に関する見通しについて、大企業非製造業の前回調査、現状判断、今後の見通しについてそれぞれ具体的な数値を上げ、上昇や下降の傾向を教えてください。,大企業非製造業の景気動向は、令和６年１～３月の前回調査では3.2％、令和６年４～６月の現状判断では1.1%、令和６年７～９月の見通しは5.4%、令和６年10～12月の見通しは5.0%となっています。継続してプラスに上昇し、令和６年７月以降は5%以上の上昇が見込まれています。,X,25.0,0,0,0,479,12,X,58.3,0,0,0,281,14,X,50.0,0,1,0,464,23,X,75.0,0,0,0,468,26
6,finance,image,2,法人企業景気予測調査（令和６年４～６月期調査）の景況判断BSIについて、化学工業は前回調査からどの程度上昇しましたか？,化学工業は前回調査はマイナス5.5の判断でしたが、今回調査ではプラス9.6に大幅上昇しました。,X,0.0,0,0,0,47,1,X,50.0,0,0,0,104,5,O,100.0,0,0,0,189,6,O,100.0,0,0,0,129,5
7,finance,paragraph,2,令和6年4~6月期の国内の景況判断BSIにおいて、中堅企業と中小企業の差異について、見通しと現状の両方から具体的に説明してください。,令和6年4~6月期の国内の景況判断BSIを見ると、中堅企業は「上昇」超である一方、中小企業は「下降」超となっています。見通しにおいても、中堅企業は「上昇」超で推移する見込みですが、中小企業は「下降」超で推移する見通しです。これにより、中堅企業は成長が期待される一方で、中小企業は景況の改善が難しいと考えられます。,O,100.0,0,0,0,772,12,O,100.0,0,0,0,515,6,O,100.0,0,0,0,299,7,O,100.0,0,0,0,237,6
8,finance,image,12,令和6年度通期において、売上高と経常利益の両方が共に前年同期比で増加した業種と、それらの増減率の詳細を挙げてください。また、その中で最も増加率が高い業種はどれでしょうか？,"令和6年度通期において、売上高と経常利益の両方が共に前年同期比で増加した業種は、生産用機械器具製造業と小売業の2業種です。
- 生産用機械器具製造業：売上高 +5.2%、経常利益 +6.4%
- 小売業：売上高 +4.8%、経常利益 +6.3%
このうち最も増加率が高い業種は生産用機械器具製造業で、売上高（+5.2%）・経常利益（+6.4%）のいずれも小売業（+4.8%／+6.3%）を上回ります。
（参考）売上高のみ増加：化学工業 +3.9%、卸売業 +2.4%（両業種とも経常利益は減益：化学工業 ▲13.2%、卸売業 ▲5.6%）。業務用機械器具製造業（経常利益 +24.9%）・金融業、保険業（+11.7%）は経常利益のみ増益で、売上高の増収上位には現れません。",O,41.7,0,0,0,374,8,O,41.7,0,0,0,258,7,O,33.3,0,0,0,180,5,O,50.0,0,0,0,351,9
9,finance,table,4,大企業と中小企業の設備投資の目的について、「維持更新」と「生産能力の拡大」に対する優先度に違いはありますか？,大企業の場合、「維持更新」が62.6%で最も大きな比重を占めるのに対し、中小企業では「生産（販売）能力の拡大」が53.8%で最も大きな比重を占める。大企業では「生産（販売）能力の拡大」（42.5%）が二番目に重要な投資項目として現れ、中小企業では「維持更新」が52.6%で二番目に重要な項目として現れる。これは大企業が現在の資産の維持と更新に比重を置くのに対し、中小企業は成長と拡張により重点を置いていることを意味する。,O,0.0,0,0,0,148,0,O,0.0,0,0,0,153,0,O,0.0,0,0,0,273,3,O,0.0,0,0,0,190,4
